"numerator","site","arm","interval","risk_n","weight_sum","ess","ess_fraction","w_median","w_q95","w_q99","w_max"
"local",1,0,17,629,613.344882853593,626.716526037219,0.996369675734847,0.956281494349457,1.07299155002837,1.24876343235677,1.5110800879146
"local",1,1,18,45,49.0470129889698,21.7856670499127,0.484125934442505,0.583980981235961,3.51293843510646,4.54660987822897,4.67329204886935
"local",1,0,18,620,604.367873288427,617.743756440224,0.996360897484232,0.956106016882224,1.07247285216663,1.24879001990977,1.5110800879146
"local",1,1,19,42,47.0221285633026,20.3858789133256,0.485378069364895,0.611027143503734,3.53558609223099,4.55524729895445,4.67329204886935
"local",1,0,19,610,594.655093203562,607.763762319761,0.996334036589773,0.956106016882224,1.07141706161196,1.24881956163532,1.5110800879146
"local",1,1,20,41,43.9340045316501,19.5117440169131,0.475896195534465,0.583980981235961,3.5431353112725,4.55812643919628,4.67329204886935
"local",1,0,20,602,586.822571558122,599.774289077668,0.996302805776857,0.956013532265879,1.07231362712627,1.24884319501576,1.5110800879146
"local",1,1,21,40,39.5486265069635,19.6264085450654,0.490660213626634,0.582978186210237,3.39970014948382,4.23253092120658,4.67329204886935
"local",1,0,21,587,571.840778999974,584.810839368819,0.996270595176863,0.955177374199728,1.07175327367983,1.25063715165599,1.5110800879146
"local",1,1,22,40,39.5486265069635,19.6264085450654,0.490660213626634,0.582978186210237,3.39970014948382,4.23253092120658,4.67329204886935
"local",1,0,22,581,565.961651532196,578.822654786975,0.996252417877754,0.955177374199728,1.07242569781556,1.25140472414213,1.5110800879146
"local",1,1,23,39,38.5640545070203,18.8911548869335,0.484388586844448,0.581975391184512,3.40724936852533,4.24383248858254,4.67329204886935
"local",1,0,23,568,553.08411509121,565.83891044236,0.99619526486331,0.954973803356565,1.07303870437943,1.25306779786211,1.5110800879146
"local",1,1,24,38,38.1081325594947,18.4959527202603,0.486735597901586,0.582978186210237,3.41479858756684,4.25513405595852,4.67329204886935
"local",1,0,24,560,545.332587352082,557.845210359864,0.9961521613569,0.954631929826376,1.07345375967696,1.25409122784364,1.5110800879146
"local",1,1,25,37,37.9437184044283,18.3430139633418,0.495757134144373,0.583980981235961,3.42234780660835,4.26643562333448,4.67329204886935
"local",1,0,25,553,538.649748307,550.849464214796,0.996111146862199,0.954736007582894,1.07404858355734,1.25498672907747,1.5110800879146
"local",2,1,1,1000,1000.43642221344,861.906241852569,0.861906241852569,0.958857303667805,1.24548195212782,2.05800893999664,9.69999326667718
"local",2,0,1,925,923.902970261514,914.87242849191,0.989051274045308,0.960304292815262,1.18950498679342,1.45625870324271,1.88168385691163
"local",2,1,2,882,860.785984287861,686.557694081213,0.778410083992305,0.900150065107601,1.58573736133381,3.09738418697473,9.69999326667718
"local",2,0,2,747,733.531903394157,703.50856566695,0.941778535029384,0.907427013998007,1.30869535150147,2.08174883282998,3.67573962931493
"local",2,1,3,775,766.998875277843,423.75604860111,0.546781998194981,0.852385041246834,1.7119770939393,3.9858692491245,18.8057424758071
"local",2,0,3,624,596.266240935964,535.949796655589,0.858893904896777,0.85678793493577,1.35800803199524,2.15757383481128,6.79323413826419
"local",2,1,4,688,660.46925554656,357.783757485951,0.520034531229579,0.798935691971016,1.92815209317877,3.54965594459506,18.8057424758071
"local",2,0,4,527,474.190309535599,473.933124727241,0.899303841987174,0.805077107407428,1.38330344673586,2.12538294153223,3.57060788096375
"local",2,1,5,155,198.23340969937,46.3047331246607,0.298740213707488,0.741188571160143,3.67050836871453,9.21781368224471,18.8057424758071
"local",2,0,5,448,379.409033544649,401.897540399975,0.897092724107088,0.7567863889873,1.32760097471605,2.14635115534143,3.0300712221094
"local",2,1,6,126,182.319526103695,39.7659148527024,0.315602498830972,0.835189527479048,4.03499515940234,9.47676197758807,18.8057424758071
