"method","estimand","tau","beta_trt","scenario","conf_mult","t_star","mean_est","truth","bias","emp_sd","rmse","coverage","n_reps"
"Federated IPW (no cloning)","OR",6,-0.5,"strong",1.5,25,1.14862969163495,0.683912333173466,0.464717358461485,0.38098239118615,0.464717358461485,NA,100
"Federated IPW (no cloning)","OR",9,-0.5,"strong",1.5,25,1.43614043193543,0.699703830152394,0.736436601783039,0.428703888429023,0.736436601783039,NA,100
"Federated per-protocol (unweighted)","OR",3,-1,"medium",1,25,1.56732135384531,0.426561464975448,1.14075988886986,0.195425327087169,1.14075988886986,NA,100
"Federated per-protocol (unweighted)","OR",6,-1,"medium",1,25,1.88548078882863,0.485914523060327,1.39956626576831,0.181426288940802,1.39956626576831,NA,100
"Federated per-protocol (unweighted)","OR",9,-1,"medium",1,25,2.14970227288447,0.52088262319873,1.62881964968574,0.207474751826183,1.62881964968574,NA,100
"Federated per-protocol (unweighted)","OR",3,-0.7,"medium",1,25,2.2896160124443,0.545611441417372,1.74400457102693,0.278235693983324,1.74400457102693,NA,100
"Federated per-protocol (unweighted)","OR",6,-0.7,"medium",1,25,2.69769823162774,0.595393038271672,2.10230519335607,0.355345680633177,2.10230519335607,NA,100
"Federated per-protocol (unweighted)","OR",9,-0.7,"medium",1,25,2.91867592319635,0.624357363752497,2.29431855944386,0.323312629249082,2.29431855944386,NA,100
"Federated per-protocol (unweighted)","OR",3,-0.5,"medium",1,25,2.87630610508926,0.645107349285387,2.23119875580388,0.463015374539399,2.23119875580388,NA,100
"Federated per-protocol (unweighted)","OR",6,-0.5,"medium",1,25,3.24014424963954,0.685758711461126,2.55438553817841,0.415145636247461,2.55438553817841,NA,100
"Federated per-protocol (unweighted)","OR",9,-0.5,"medium",1,25,3.54647871687746,0.709045947553628,2.83743276932383,0.345846741999717,2.83743276932383,NA,100
"Federated per-protocol (unweighted)","OR",3,-1,"small",0.5,25,0.840236767795306,0.427098922794016,0.41313784500129,0.124605259644842,0.41313784500129,NA,100
"Federated per-protocol (unweighted)","OR",6,-1,"small",0.5,25,1.05533153513905,0.494198818732103,0.561132716406951,0.107717895722285,0.561132716406951,NA,100
"Federated per-protocol (unweighted)","OR",9,-1,"small",0.5,25,1.19068908919142,0.53554712579243,0.655141963398993,0.0988084322854542,0.655141963398993,NA,100
"Federated per-protocol (unweighted)","OR",3,-0.7,"small",0.5,25,1.24339893661572,0.544062064736152,0.699336871879566,0.165074247205057,0.699336871879566,NA,100
"Federated per-protocol (unweighted)","OR",6,-0.7,"small",0.5,25,1.3432695526259,0.601271192140172,0.741998360485724,0.129243392666808,0.741998360485724,NA,100
"Federated per-protocol (unweighted)","OR",9,-0.7,"small",0.5,25,1.50249816509907,0.635736871427349,0.866761293671718,0.128116773393347,0.866761293671718,NA,100
"Federated per-protocol (unweighted)","OR",3,-0.5,"small",0.5,25,1.50030882272217,0.644258336427251,0.856050486294917,0.265106407237024,0.856050486294917,NA,100
"Federated per-protocol (unweighted)","OR",6,-0.5,"small",0.5,25,1.68812725614875,0.690675079681274,0.997452176467475,0.193459711662633,0.997452176467475,NA,100
"Federated per-protocol (unweighted)","OR",9,-0.5,"small",0.5,25,1.81404270231579,0.718671968743803,1.09537073357199,0.20210039113211,1.09537073357199,NA,100
"Federated per-protocol (unweighted)","OR",3,-1,"strong",1.5,25,2.26521507203873,0.423054773738354,1.84216029830038,0.271628420494292,1.84216029830038,NA,100
"Federated per-protocol (unweighted)","OR",6,-1,"strong",1.5,25,2.54160447555683,0.479834771626606,2.06176970393022,0.244908599500037,2.06176970393022,NA,100
"Federated per-protocol (unweighted)","OR",9,-1,"strong",1.5,25,2.80691443771651,0.507877056794272,2.29903738092224,0.310088656840326,2.29903738092224,NA,100
"Federated per-protocol (unweighted)","OR",3,-0.7,"strong",1.5,25,3.33729125766185,0.542655710402632,2.79463554725922,0.480531928250413,2.79463554725922,NA,100
