"method","estimand","tau","beta_trt","scenario","conf_mult","sample_size_scenario","initiation_scenario","n_sites","n_per_site","total_n","init_intercept","zero_cov_init_prob","mean_est","median_est","truth","bias","median_bias","emp_sd","rmse","coverage","mean_observed_init_rate","mean_min_site_init_rate","mean_max_site_init_rate","mean_landmark_n","mean_landmark_treated_rate","n_reps"
"local_ccw_meta","RMST_diff",4,-0.7,"medium",1,"low","low",10,300,3000,-5,0.00669285092428486,0.705003624000099,0.67196524761972,2.07204976682396,-1.36704614282386,-1.40008451920424,1.29190673074839,1.36704614282386,NA,0.0434966666666667,0.0274111111111111,0.0612888888888889,1785.32666666667,0.0417249728656034,300
"local_ccw_meta","RMST_diff",6,-0.7,"medium",1,"low","low",10,300,3000,-5,0.00669285092428486,0.419502301651088,0.289689644045994,1.5136877589414,-1.09418545729031,-1.2239981148954,0.943214722838128,1.09418545729031,NA,0.0512155555555556,0.0327444444444444,0.0718333333333333,1449.93,0.0522214347842576,300
"local_ccw_meta","RMST_diff",8,-0.7,"medium",1,"low","low",10,300,3000,-5,0.00669285092428486,0.472630077800392,0.421400378903769,1.13643585821513,-0.663805780414734,-0.715035479311357,0.627290273789167,0.663805780414734,NA,0.0588822222222222,0.0398111111111111,0.0791333333333333,1208.72,0.0596162670504002,300
"pooled_ccw_tvipcw","RMST_diff",4,-0.7,"medium",1,"large","high",10,1000,10000,-1,0.268941421369995,2.83486789279227,2.81099324571388,2.84353121803927,-0.00866332524700584,-0.0325379723253922,0.288778225078162,0.00866332524700584,0.983333333333333,0.606795333333333,0.583526666666667,0.6316,6736.90333333333,0.619209949593489,300
"pooled_ccw_tvipcw","RMST_diff",6,-0.7,"medium",1,"large","high",10,1000,10000,-1,0.268941421369995,2.60019260311337,2.63972608542421,2.6829365463258,-0.0827439432124332,-0.0432104609015918,0.41626009359961,0.0827439432124332,0.87,0.665664333333333,0.64223,0.688003333333333,5736.41666666667,0.691164952838322,300
"pooled_ccw_tvipcw","RMST_diff",8,-0.7,"medium",1,"large","high",10,1000,10000,-1,0.268941421369995,2.49412303585428,2.48287047266343,2.61164550344623,-0.117522467591947,-0.128775030782796,0.463223273427839,0.117522467591947,0.86,0.700922333333333,0.679126666666667,0.72313,4985.12,0.738379274558101,300
"pooled_ccw_tvipcw","RMST_diff",4,-0.7,"medium",1,"low","high",10,300,3000,-1,0.268941421369995,2.97305927147086,2.96030267889417,2.84353121803927,0.129528053431586,0.116771460854897,0.643365669300724,0.129528053431586,0.956666666666667,0.607707777777778,0.561244444444444,0.648611111111111,2010.23,0.621731744630296,300
"pooled_ccw_tvipcw","RMST_diff",6,-0.7,"medium",1,"low","high",10,300,3000,-1,0.268941421369995,2.50342146322212,2.45000602937371,2.6829365463258,-0.179515083103681,-0.232930516952091,0.614501665684812,0.179515083103681,0.95,0.670456666666667,0.629466666666667,0.7134,1720.96666666667,0.695496087195759,300
"pooled_ccw_tvipcw","RMST_diff",8,-0.7,"medium",1,"low","high",10,300,3000,-1,0.268941421369995,2.5593217783272,2.59100815861969,2.61164550344623,-0.0523237251190307,-0.0206373448265369,0.647184999040365,0.0523237251190307,0.97,0.701495555555556,0.659388888888889,0.7458,1501.08,0.738323474140332,300
"pooled_ccw_tvipcw","RMST_diff",4,-0.7,"medium",1,"large","low",10,1000,10000,-5,0.00669285092428486,2.01658858316898,2.01001627132497,2.07204976682396,-0.0554611836549803,-0.0620334954989916,0.84793776047149,0.0554611836549803,0.933333333333333,0.042601,0.0335433333333333,0.0519566666666667,5956.41,0.0411334769112601,300
"pooled_ccw_tvipcw","RMST_diff",6,-0.7,"medium",1,"large","low",10,1000,10000,-5,0.00669285092428486,1.63606017069441,1.53200484767464,1.5136877589414,0.122372411753018,0.0183170887332489,0.704680723970091,0.122372411753018,0.973333333333333,0.051551,0.04107,0.0622433333333333,4828.52333333333,0.0510128728262611,300
"pooled_ccw_tvipcw","RMST_diff",8,-0.7,"medium",1,"large","low",10,1000,10000,-5,0.00669285092428486,1.19338319892385,1.16016046092142,1.13643585821513,0.0569473407087264,0.0237246027062987,0.570281483981711,0.0569473407087264,0.93,0.0588906666666667,0.04804,0.0700766666666667,4018.98,0.0607858937437258,300
"pooled_ccw_tvipcw","RMST_diff",4,-0.7,"medium",1,"low","low",10,300,3000,-5,0.00669285092428486,1.96207164146505,2.16279710993869,2.07204976682396,-0.109978125358906,0.0907473431147343,1.49613412480036,0.109978125358906,0.916666666666667,0.0434966666666667,0.0274111111111111,0.0612888888888889,1785.32666666667,0.0417249728656034,300
"pooled_ccw_tvipcw","RMST_diff",6,-0.7,"medium",1,"low","low",10,300,3000,-5,0.00669285092428486,1.1436906552698,1.07206430166155,1.5136877589414,-0.369997103671597,-0.441623457279844,1.05483188900657,0.369997103671597,0.913333333333333,0.0512155555555556,0.0327444444444444,0.0718333333333333,1449.93,0.0522214347842576,300
"pooled_ccw_tvipcw","RMST_diff",8,-0.7,"medium",1,"low","low",10,300,3000,-5,0.00669285092428486,1.08356020359826,1.26016310052482,1.13643585821513,-0.0528756546168625,0.123727242309696,0.848601644088503,0.0528756546168625,0.926666666666667,0.0588822222222222,0.0398111111111111,0.0791333333333333,1208.72,0.0596162670504002,300
"fed_ccw_tvipcw","RR",4,-0.7,"medium",1,"large","high",10,1000,10000,-1,0.268941421369995,0.896640255931817,0.89690354907461,0.896396174324933,0.000244081606883811,0.000507374749677103,0.0105535011143177,0.000244081606883811,0.98,0.606795333333333,0.583526666666667,0.6316,6736.90333333333,0.619209949593489,300
"fed_ccw_tvipcw","RR",6,-0.7,"medium",1,"large","high",10,1000,10000,-1,0.268941421369995,0.900688801738562,0.898487165048111,0.899170406057201,0.00151839568136122,-0.000683241009089786,0.0143997624632248,0.00151839568136122,0.93,0.665664333333333,0.64223,0.688003333333333,5736.41666666667,0.691164952838322,300
"fed_ccw_tvipcw","RR",8,-0.7,"medium",1,"large","high",10,1000,10000,-1,0.268941421369995,0.906905287597298,0.908250473206368,0.900958016740013,0.00594727085728501,0.0072924564663549,0.0169700963137583,0.00594727085728501,0.92,0.700922333333333,0.679126666666667,0.72313,4985.12,0.738379274558101,300
"fed_ccw_tvipcw","RR",4,-0.7,"medium",1,"low","high",10,300,3000,-1,0.268941421369995,0.886300437364316,0.888457243022267,0.896396174324933,-0.0100957369606173,-0.00793893130266676,0.0188178396731759,0.0100957369606173,0.996666666666667,0.607707777777778,0.561244444444444,0.648611111111111,2010.23,0.621731744630296,300
"fed_ccw_tvipcw","RR",6,-0.7,"medium",1,"low","high",10,300,3000,-1,0.268941421369995,0.905650048672559,0.906597193386679,0.899170406057201,0.0064796426153583,0.00742678732947799,0.025837767696217,0.0064796426153583,0.943333333333333,0.670456666666667,0.629466666666667,0.7134,1720.96666666667,0.695496087195759,300
"fed_ccw_tvipcw","RR",8,-0.7,"medium",1,"low","high",10,300,3000,-1,0.268941421369995,0.904128290669145,0.905796674782348,0.900958016740013,0.00317027392913248,0.00483865804233585,0.0272995552226256,0.00317027392913248,0.946666666666667,0.701495555555556,0.659388888888889,0.7458,1501.08,0.738323474140332,300
"fed_ccw_tvipcw","RR",4,-0.7,"medium",1,"large","low",10,1000,10000,-5,0.00669285092428486,0.932495808515801,0.931006346974295,0.914891628308783,0.0176041802070185,0.0161147186655126,0.0516463148625574,0.0176041802070185,0.846666666666667,0.042601,0.0335433333333333,0.0519566666666667,5956.41,0.0411334769112601,300
"fed_ccw_tvipcw","RR",6,-0.7,"medium",1,"large","low",10,1000,10000,-5,0.00669285092428486,0.924881425644762,0.929990536882325,0.926615829164346,-0.00173440351958413,0.00337470771797899,0.0411269698892612,0.00173440351958413,0.943333333333333,0.051551,0.04107,0.0622433333333333,4828.52333333333,0.0510128728262611,300
"fed_ccw_tvipcw","RR",8,-0.7,"medium",1,"large","low",10,1000,10000,-5,0.00669285092428486,0.931931507543972,0.936480640646283,0.936404940477623,-0.00447343293365087,7.57001686600978e-05,0.0468389250196992,0.00447343293365087,0.9,0.0588906666666667,0.04804,0.0700766666666667,4018.98,0.0607858937437258,300
"fed_ccw_tvipcw","RR",4,-0.7,"medium",1,"low","low",10,300,3000,-5,0.00669285092428486,0.933215826967503,0.940490933218883,0.914891628308783,0.0183241986587202,0.0255993049101001,0.0979678354268429,0.0183241986587202,0.816666666666667,0.0434966666666667,0.0274111111111111,0.0612888888888889,1785.32666666667,0.0417249728656034,300
