"method","estimand","tau","beta_trt","scenario","conf_mult","t_star","misspec","mean_est","truth","bias","emp_sd","rmse","coverage","n_reps"
"Federated CCW","RD",8,-0.5,"small",0.4,25,"correct",-0.0508537862372899,-0.0489632870192666,-0.00189049921802337,0.0122611581012849,0.01234530782517,0.97,100
"Federated CCW","RD",8,-0.5,"small",0.4,25,"no_tv",-0.0564461353419039,-0.0489632870192666,-0.00748284832263734,0.0116815788914869,0.013823447889859,0.95,100
"Federated CCW","RD",8,-0.5,"small",0.4,25,"coarse_L",-0.054520795453161,-0.0489632870192666,-0.00555750843389449,0.0122613912856534,0.0134061254316863,0.96,100
"Federated CCW","RD",2,-1,"medium",1,25,"correct",-0.15104990472796,-0.157561792455253,0.00651188772729294,0.0419607959847239,0.0422552481645508,0.94,100
"Federated CCW","RD",2,-1,"medium",1,25,"no_tv",-0.17560598055301,-0.157561792455253,-0.0180441880977568,0.0371438807211601,0.0411274108154734,0.98,100
"Federated CCW","RD",2,-1,"medium",1,25,"coarse_L",-0.162809417883571,-0.157561792455253,-0.00524762542831773,0.0378543587641545,0.038028417338969,0.98,100
"Federated CCW","RD",5,-1,"medium",1,25,"correct",-0.122929146050851,-0.123633070025923,0.000703923975071362,0.0251260868509754,0.0250100489204042,0.96,100
"Federated CCW","RD",5,-1,"medium",1,25,"no_tv",-0.133413987546587,-0.123633070025923,-0.00978091752066448,0.0200210228064317,0.0221923249845423,0.98,100
"Federated CCW","RD",5,-1,"medium",1,25,"coarse_L",-0.133060638984652,-0.123633070025923,-0.00942756895872931,0.0231360750104477,0.0248757762429993,0.97,100
"Federated CCW","RD",8,-1,"medium",1,25,"correct",-0.104353912469056,-0.107296828776202,0.00294291630714615,0.0254765068049568,0.025519064077353,0.93,100
"Federated CCW","RD",8,-1,"medium",1,25,"no_tv",-0.108256627434497,-0.107296828776202,-0.000959798658295323,0.0179303268627431,0.0178662494288875,0.97,100
"Federated CCW","RD",8,-1,"medium",1,25,"coarse_L",-0.112774647803064,-0.107296828776202,-0.00547781902686225,0.0233326431068036,0.0238531887448414,0.94,100
"Federated CCW","RD",2,-0.7,"medium",1,25,"correct",-0.0944045973062916,-0.103208945273067,0.00880434796677585,0.0443301693904174,0.0449780926910128,0.9,100
"Federated CCW","RD",2,-0.7,"medium",1,25,"no_tv",-0.118431661199683,-0.103208945273067,-0.0152227159266157,0.0503685445911299,0.0523770127209331,0.96,100
"Federated CCW","RD",2,-0.7,"medium",1,25,"coarse_L",-0.112962738339287,-0.103208945273067,-0.00975379306621958,0.0501775455525088,0.0508698800477845,0.92,100
"Federated CCW","RD",5,-0.7,"medium",1,25,"correct",-0.0782382010686104,-0.0831784790995589,0.00494027803094846,0.0348442937488171,0.0350198501682744,0.89,100
"Federated CCW","RD",5,-0.7,"medium",1,25,"no_tv",-0.0933267724748897,-0.0831784790995589,-0.0101482933753308,0.0290843670650358,0.0306664191246677,0.92,100
"Federated CCW","RD",5,-0.7,"medium",1,25,"coarse_L",-0.0898330223829072,-0.0831784790995589,-0.00665454328334834,0.0327444334605736,0.0332529530979934,0.91,100
"Federated CCW","RD",8,-0.7,"medium",1,25,"correct",-0.0755548616304396,-0.0730403093091784,-0.00251455232126121,0.0205617577824494,0.0206126416950724,0.99,100
