"method","estimand","tau","beta_trt","scenario","conf_mult","t_star","mean_est","truth","bias","emp_sd","rmse","coverage","n_reps"
"IPTW (no cloning)","RD",5,-1,"medium",1,25,-0.0869096400563339,-0.123633070025923,0.0367234299695888,0.026540711938423,0.0452324618501764,NA,100
"IPTW (no cloning)","RD",8,-1,"medium",1,25,-0.045509098056386,-0.107296828776202,0.0617877307198159,0.0254086771308471,0.0667597822967445,NA,100
"IPTW (no cloning)","RD",2,-0.7,"medium",1,25,-0.0837544335143268,-0.103208945273067,0.0194545117587407,0.0435036170256106,0.047456475586993,NA,100
"IPTW (no cloning)","RD",5,-0.7,"medium",1,25,-0.0380977950574375,-0.0831784790995589,0.0450806840421214,0.0332152943491087,0.0558971492530391,NA,100
"IPTW (no cloning)","RD",8,-0.7,"medium",1,25,-0.0134090520396386,-0.0730403093091784,0.0596312572695398,0.0254069434004313,0.0647683911238286,NA,100
"IPTW (no cloning)","RD",2,-0.5,"medium",1,25,-0.0672049960063178,-0.0704769067816117,0.00327191077529391,0.0540679146485037,0.0538963022907415,NA,100
"IPTW (no cloning)","RD",5,-0.5,"medium",1,25,-0.0249442703533838,-0.057593918015868,0.0326496476624842,0.0328420209832144,0.0461932013539183,NA,100
"IPTW (no cloning)","RD",8,-0.5,"medium",1,25,0.00661714094928591,-0.0512113647691539,0.0578285057184398,0.0258892138264432,0.063306278932294,NA,100
"IPTW (no cloning)","RD",2,-1,"strong",2,25,-0.105429973831843,-0.158281734212093,0.05285176038025,0.0554436974766116,0.0763974615368247,NA,100
"IPTW (no cloning)","RD",5,-1,"strong",2,25,-0.0741392016094481,-0.129431014759885,0.055291813150437,0.0997671748294879,0.11362719253412,NA,100
"IPTW (no cloning)","RD",8,-1,"strong",2,25,-0.0256743135915273,-0.111633512871676,0.0859591992801488,0.0647002316821089,0.107392936084296,NA,100
"IPTW (no cloning)","RD",2,-0.7,"strong",2,25,-0.0621843707938378,-0.102744180069684,0.0405598092758457,0.0890671589819368,0.0974614146701937,NA,100
"IPTW (no cloning)","RD",5,-0.7,"strong",2,25,-0.0481355968693095,-0.0864289105015962,0.0382933136322867,0.125403193534953,0.130518501401978,NA,100
"IPTW (no cloning)","RD",8,-0.7,"strong",2,25,0.0176626935681374,-0.073695298677964,0.0913579922461014,0.0655958400295258,0.112276751084657,NA,100
"IPTW (no cloning)","RD",2,-0.5,"strong",2,25,-0.013727602412381,-0.0679421293508451,0.0542145269384641,0.0947952483225845,0.108791050388607,NA,100
"IPTW (no cloning)","RD",5,-0.5,"strong",2,25,0.0106435480765065,-0.0592813176469181,0.0699248657234247,0.061800094900334,0.0931157669722606,NA,100
"IPTW (no cloning)","RD",8,-0.5,"strong",2,25,0.0399271251817035,-0.0495488313631018,0.0894759565448053,0.0578503899920287,0.106391483426144,NA,100
"Per-protocol (no IPTW)","RD",2,-1,"small",0.4,25,-0.0602026502704369,-0.158884966736931,0.0986823164664945,0.0240770063227437,0.101548534181071,NA,100
"Per-protocol (no IPTW)","RD",5,-1,"small",0.4,25,-0.0244174031162907,-0.120971162827715,0.0965537597114242,0.0182904650291916,0.0982538763321106,NA,100
"Per-protocol (no IPTW)","RD",8,-1,"small",0.4,25,-0.00525888208331633,-0.101768486263082,0.0965096041797659,0.011615389052417,0.0971991347139763,NA,100
"Per-protocol (no IPTW)","RD",2,-0.7,"small",0.4,25,-0.00449151872933285,-0.105367498999536,0.100875980270203,0.0215557696222853,0.103130829956146,NA,100
"Per-protocol (no IPTW)","RD",5,-0.7,"small",0.4,25,0.0108487034142855,-0.0821353199189906,0.0929840233332761,0.0132949734125296,0.0939202712416372,NA,100
"Per-protocol (no IPTW)","RD",8,-0.7,"small",0.4,25,0.0273064586855811,-0.0698427863991118,0.0971492450846928,0.0122008044952814,0.0979047846356575,NA,100
"Per-protocol (no IPTW)","RD",2,-0.5,"small",0.4,25,0.0213397900823136,-0.0718312691569835,0.0931710592392971,0.021839500462781,0.0956715235711848,NA,100
"Per-protocol (no IPTW)","RD",5,-0.5,"small",0.4,25,0.0374515272257852,-0.0569676227881472,0.0944191500139324,0.0149948875627268,0.0955906589361225,NA,100
"Per-protocol (no IPTW)","RD",8,-0.5,"small",0.4,25,0.0495657039163611,-0.0489632870192666,0.0985289909356276,0.0135137328464734,0.0994422285575117,NA,100
"Per-protocol (no IPTW)","RD",2,-1,"medium",1,25,0.0455767513201899,-0.157561792455253,0.203138543775443,0.0165091891733036,0.203801608828527,NA,100
"Per-protocol (no IPTW)","RD",5,-1,"medium",1,25,0.0781845737041115,-0.123633070025923,0.201817643730034,0.0115687751647764,0.202145639364217,NA,100
"Per-protocol (no IPTW)","RD",8,-1,"medium",1,25,0.104670029051264,-0.107296828776202,0.211966857827466,0.0133437645782206,0.21238225987553,NA,100
"Per-protocol (no IPTW)","RD",2,-0.7,"medium",1,25,0.0813826466576965,-0.103208945273067,0.184591591930764,0.0130317833698017,0.185046439888892,NA,100
"Per-protocol (no IPTW)","RD",5,-0.7,"medium",1,25,0.11211886967395,-0.0831784790995589,0.195297348773509,0.0152886310896336,0.195888895183343,NA,100
"Per-protocol (no IPTW)","RD",8,-0.7,"medium",1,25,0.134964039990954,-0.0730403093091784,0.208004349300133,0.0140314727756852,0.2084723548429,NA,100
