"method","estimand","tau","beta_trt","scenario","conf_mult","sample_size_scenario","outcome_scenario","n_sites","n_per_site","total_n","event_intercept","init_intercept","mean_est","median_est","truth","mean_bias","median_bias","emp_sd","rmse","coverage","mean_observed_death_rate","mean_min_site_death_rate","mean_max_site_death_rate","mean_observed_init_rate","mean_landmark_n","mean_landmark_event_n","mean_landmark_event_rate","mean_landmark_treated_rate","n_reps"
"pooled_ccw_tvipcw","OR",4,-0.7,"medium",1,"large","rare",10,500,5000,-7,-3,0.564862658884028,0.550554415628817,0.565233417328474,-0.000370758444445473,-0.0146790016996565,0.083049787718276,0.082912084831312,0.976666666666667,0.0674393333333333,0.0510666666666667,0.08458,0.275262,4956.23666666667,293.433333333333,0.059204311502672,0.274832179691644,300
"pooled_ccw_tvipcw","OR",6,-0.7,"medium",1,"large","rare",10,500,5000,-7,-3,0.628169331532955,0.61740292476122,0.588892190875553,0.0392771406574024,0.0285107338856675,0.141469830834003,0.146593637098052,0.89,0.0626566666666667,0.04512,0.0810733333333333,0.365666,4932.87666666667,246.16,0.049902764821515,0.364770776629118,300
"pooled_ccw_tvipcw","OR",8,-0.7,"medium",1,"large","rare",10,500,5000,-7,-3,0.68798720271564,0.69844587400954,0.625799445771276,0.0621877569443645,0.0726464282382646,0.107388839987734,0.123940464973455,0.946666666666667,0.0606946666666667,0.0436666666666667,0.0790733333333333,0.433404,4905.93333333333,209.406666666667,0.0426846609272303,0.432268742241349,300
"pooled_ccw_tvipcw","OR",4,-0.7,"medium",1,"low","rare",10,100,1000,-7,-3,0.617374050837476,0.580940098976622,0.565233417328474,0.0521406335090024,0.0157066816481487,0.213195867501486,0.219133784074247,0.953333333333333,0.06893,0.0324,0.1067,0.278816666666667,990.566666666667,59.4966666666667,0.0600637569699212,0.277626205150898,300
"pooled_ccw_tvipcw","OR",6,-0.7,"medium",1,"low","rare",10,100,1000,-7,-3,0.724864862110451,0.640252245730567,0.588892190875553,0.135972671234899,0.0513600548550147,0.281320380095607,0.312035125788268,0.846666666666667,0.06274,0.0297666666666667,0.1051,0.36521,986.276666666667,49.0166666666667,0.0496955991149219,0.364436333420635,300
"pooled_ccw_tvipcw","OR",8,-0.7,"medium",1,"low","rare",10,100,1000,-7,-3,0.788834496337159,0.760397801021936,0.625799445771276,0.163035050565883,0.13459835525066,0.274890107978485,0.319207013194513,0.926666666666667,0.0640033333333333,0.0289333333333333,0.103533333333333,0.436016666666667,980.373333333333,44.3766666666667,0.0452636006781888,0.434662604135091,300
"fed_ccw_tvipcw","RD",4,-0.7,"medium",1,"large","common",10,500,5000,-3,-3,-0.0937454097842566,-0.09522813772562,-0.109195720421989,0.015450310637732,0.0139675826963687,0.0228029539756926,0.0275127890223179,0.903333333333333,0.743688,0.70956,0.774646666666667,0.235289333333333,3602.80333333333,2321.24333333333,0.644278204237654,0.235365834666581,300
"fed_ccw_tvipcw","RD",6,-0.7,"medium",1,"large","common",10,500,5000,-3,-3,-0.0974529660251484,-0.0938537816637137,-0.0969463587586956,-0.000506607266452821,0.00309257709498195,0.0244857223844497,0.0244501278035202,0.916666666666667,0.738585333333333,0.70724,0.76812,0.284996,3120.55333333333,1813.48,0.581137505205074,0.291088024585598,300
"fed_ccw_tvipcw","RD",8,-0.7,"medium",1,"large","common",10,500,5000,-3,-3,-0.0821210966554413,-0.0851891394304697,-0.0881559522357115,0.00603485558027022,0.0029668128052418,0.0230473176889455,0.0237871338827186,0.886666666666667,0.736172666666667,0.70202,0.7663,0.316197333333333,2758.8,1439.66333333333,0.521854847817825,0.328205901309744,300
"fed_ccw_tvipcw","RD",4,-0.7,"medium",1,"low","common",10,100,1000,-3,-3,-0.12158946246211,-0.109291209552051,-0.109195720421989,-0.0123937420401214,-9.54891300624094e-05,0.0822370837250586,0.0830301129403906,0.816666666666667,0.747856666666667,0.674466666666667,0.8127,0.234956666666667,718.236666666667,466.093333333333,0.648951717977514,0.234844424464582,300
"fed_ccw_tvipcw","RD",6,-0.7,"medium",1,"low","common",10,100,1000,-3,-3,-0.103476253521886,-0.0995140701977018,-0.0969463587586956,-0.00652989476319011,-0.00256771143900614,0.0782060644825903,0.0783482019729907,0.84,0.74083,0.6658,0.8138,0.280433333333333,618.436666666667,359.266666666667,0.580998000011258,0.285968866882874,300
