"task_id","rep","estimand","fragmentation","initiation","n_sites","n_per_site","empty_g1_at_tstar","truth","fed_estimate","fed_bias","local_estimate","local_bias","local_minus_fed","absolute_bias_gap","empty_g1_fraction"
1,61,"RD","10_sites_x_500","moderate",10,500,0,-0.0890061663840512,-0.0964092927141196,-0.00740312633006834,-0.0960192494188511,-0.00701308303479986,0.000390043295268483,-0.000390043295268483,0
1,61,"RMST_diff","10_sites_x_500","moderate",10,500,0,1.92756947857927,1.91055257838429,-0.0170169001949887,1.90085955406535,-0.0267099245139271,-0.00969302431893837,0.00969302431893837,0
1,62,"RD","10_sites_x_500","moderate",10,500,0,-0.0890061663840512,-0.0934528213382771,-0.00444665495422591,-0.0929136493984425,-0.00390748301439126,0.000539171939834659,-0.000539171939834659,0
1,62,"RMST_diff","10_sites_x_500","moderate",10,500,0,1.92756947857927,1.89069200206459,-0.036877476514686,1.87959629177254,-0.0479731868067361,-0.0110957102920501,0.0110957102920501,0
1,63,"RD","10_sites_x_500","moderate",10,500,0,-0.0890061663840512,-0.0939198363116043,-0.00491366992755304,-0.093526566087506,-0.00452039970345475,0.000393270224098297,-0.000393270224098297,0
1,63,"RMST_diff","10_sites_x_500","moderate",10,500,0,1.92756947857927,1.88731037698617,-0.0402591015931044,1.87858256293428,-0.048986915644992,-0.00872781405188761,0.00872781405188761,0
1,64,"RD","10_sites_x_500","moderate",10,500,0,-0.0890061663840512,-0.089825805539238,-0.000819639155186791,-0.0893929783284259,-0.000386811944374621,0.00043282721081217,-0.00043282721081217,0
1,64,"RMST_diff","10_sites_x_500","moderate",10,500,0,1.92756947857927,1.84634260436695,-0.0812268742123283,1.8381970630099,-0.0893724155693771,-0.00814554135704881,0.00814554135704881,0
1,65,"RD","10_sites_x_500","moderate",10,500,0,-0.0890061663840512,-0.0905704621405776,-0.00156429575652639,-0.0902104868890581,-0.00120432050500685,0.00035997525151954,-0.00035997525151954,0
1,65,"RMST_diff","10_sites_x_500","moderate",10,500,0,1.92756947857927,1.89384853232571,-0.0337209462535597,1.8876919219332,-0.0398775566460738,-0.00615661039251414,0.00615661039251414,0
1,66,"RD","10_sites_x_500","moderate",10,500,0,-0.0890061663840512,-0.0917428451800792,-0.00273667879602801,-0.0913299229071165,-0.00232375652306527,0.000412922272962746,-0.000412922272962746,0
