"task_id","rep","fragmentation","initiation","init_intercept","n_sites","n_per_site","total_n","observed_init_rate","observed_death_rate","zero_initiation_sites","mean_initiators_per_site","min_initiators_per_site","max_initiators_per_site","empty_g1_at_tau","empty_g1_at_tstar","empty_g0_at_tstar","any_post_tau_empty_g1","fit_warning_count"
1,137,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2262,0.8172,0,113.1,99,123,0,0,0,0,0
1,138,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2268,0.819,0,113.4,102,123,0,0,0,0,0
1,139,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2276,0.8164,0,113.8,102,123,0,0,0,0,0
1,140,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2288,0.8186,0,114.4,102,123,0,0,0,0,0
1,141,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2266,0.8178,0,113.3,102,121,0,0,0,0,0
1,142,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2298,0.8194,0,114.9,102,130,0,0,0,0,0
1,143,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2268,0.8192,0,113.4,102,130,0,0,0,0,0
1,144,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2264,0.8188,0,113.2,102,130,0,0,0,0,0
1,145,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2218,0.8208,0,110.9,95,130,0,0,0,0,0
1,146,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2226,0.8194,0,111.3,95,130,0,0,0,0,0
1,147,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2232,0.8198,0,111.6,95,130,0,0,0,0,0
1,148,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2274,0.8152,0,113.7,95,130,0,0,0,0,0
1,149,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2296,0.8196,0,114.8,95,130,0,0,0,0,0
1,150,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2336,0.8164,0,116.8,95,138,0,0,0,0,0
1,151,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2368,0.8162,0,118.4,95,138,0,0,0,0,0
1,152,"10_sites_x_500","moderate",-2.5,10,500,5000,0.235,0.8164,0,117.5,95,138,0,0,0,0,0
1,153,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2346,0.8164,0,117.3,95,138,0,0,0,0,0
1,154,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2346,0.819,0,117.3,95,138,0,0,0,0,0
1,155,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2408,0.8164,0,120.4,104,138,0,0,0,0,0
1,156,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2404,0.8162,0,120.2,104,138,0,0,0,0,0
1,157,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2392,0.815,0,119.6,104,138,0,0,0,0,0
1,158,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2386,0.8174,0,119.3,104,138,0,0,0,0,0
1,159,"10_sites_x_500","moderate",-2.5,10,500,5000,0.236,0.8136,0,118,104,138,0,0,0,0,0
1,160,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2294,0.817,0,114.7,104,128,0,0,0,0,0
1,161,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2252,0.8214,0,112.6,104,126,0,0,0,0,0
1,162,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2198,0.8214,0,109.9,94,126,0,0,0,0,0
1,163,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2222,0.8212,0,111.1,94,126,0,0,0,0,0
1,164,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2202,0.8198,0,110.1,94,126,0,0,0,0,0
1,165,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2188,0.8216,0,109.4,94,120,0,0,0,0,0
1,166,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2212,0.8228,0,110.6,94,123,0,0,0,0,0
1,167,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2222,0.8246,0,111.1,94,123,0,0,0,0,0
1,168,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2228,0.8218,0,111.4,94,123,0,0,0,0,0
1,169,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2216,0.8226,0,110.8,94,123,0,0,0,0,0
1,170,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2208,0.8212,0,110.4,94,123,0,0,0,0,0
1,171,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2228,0.818,0,111.4,94,123,0,0,0,0,0
1,172,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2248,0.8186,0,112.4,98,123,0,0,0,0,0
1,173,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2256,0.82,0,112.8,98,123,0,0,0,0,0
1,174,"10_sites_x_500","moderate",-2.5,10,500,5000,0.227,0.8196,0,113.5,101,123,0,0,0,0,0
1,175,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2284,0.8206,0,114.2,101,126,0,0,0,0,0
1,176,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2258,0.8182,0,112.9,101,126,0,0,0,0,0
1,177,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2204,0.8196,0,110.2,93,126,0,0,0,0,0
1,178,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2176,0.8238,0,108.8,93,126,0,0,0,0,0
1,179,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2208,0.8222,0,110.4,93,126,0,0,0,0,0
1,180,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2226,0.8216,0,111.3,93,126,0,0,0,0,0
1,181,"10_sites_x_500","moderate",-2.5,10,500,5000,0.222,0.824,0,111,93,126,0,0,0,0,0
1,182,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2238,0.8234,0,111.9,93,126,0,0,0,0,0
1,183,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2268,0.8208,0,113.4,93,135,0,0,0,0,0
1,184,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2296,0.82,0,114.8,93,135,0,0,0,0,0
1,185,"10_sites_x_500","moderate",-2.5,10,500,5000,0.227,0.8174,0,113.5,93,135,0,0,0,0,0
1,186,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2268,0.8178,0,113.4,93,135,0,0,0,0,0
1,187,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2306,0.8178,0,115.3,109,135,0,0,0,0,0
1,188,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2288,0.8198,0,114.4,100,135,0,0,0,0,0
1,189,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2274,0.822,0,113.7,100,135,0,0,0,0,0
1,190,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2294,0.8232,0,114.7,100,135,0,0,0,0,0
1,191,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2292,0.823,0,114.6,100,135,0,0,0,0,0
1,192,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2334,0.8228,0,116.7,100,135,0,0,0,0,0
1,193,"10_sites_x_500","moderate",-2.5,10,500,5000,0.229,0.825,0,114.5,100,134,0,0,0,0,0
1,194,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2296,0.8268,0,114.8,100,134,0,0,0,0,0
1,195,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2278,0.8304,0,113.9,100,134,0,0,0,0,0
1,196,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2272,0.8306,0,113.6,100,134,0,0,0,0,0
1,197,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2254,0.8264,0,112.7,100,134,0,0,0,0,0
1,198,"10_sites_x_500","moderate",-2.5,10,500,5000,0.227,0.8228,0,113.5,103,134,0,0,0,0,0
1,199,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2256,0.8184,0,112.8,103,134,0,0,0,0,0
1,200,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2248,0.82,0,112.4,103,134,0,0,0,0,0
1,201,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2248,0.8194,0,112.4,103,134,0,0,0,0,0
1,202,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2208,0.8202,0,110.4,103,122,0,0,0,0,0
1,203,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2204,0.8184,0,110.2,103,122,0,0,0,0,0
1,204,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2178,0.816,0,108.9,103,116,0,0,0,0,0
1,205,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2198,0.8126,0,109.9,103,116,0,0,0,0,0
1,206,"10_sites_x_500","moderate",-2.5,10,500,5000,0.222,0.8146,0,111,103,117,0,0,0,0,0
1,207,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2242,0.8164,0,112.1,105,117,0,0,0,0,0
1,208,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2254,0.8174,0,112.7,105,117,0,0,0,0,0
1,209,"10_sites_x_500","moderate",-2.5,10,500,5000,0.226,0.8176,0,113,108,117,0,0,0,0,0
1,210,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2264,0.8146,0,113.2,108,118,0,0,0,0,0
1,211,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2316,0.8108,0,115.8,108,139,0,0,0,0,0
1,212,"10_sites_x_500","moderate",-2.5,10,500,5000,0.229,0.8084,0,114.5,101,139,0,0,0,0,0
1,213,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2332,0.8088,0,116.6,101,139,0,0,0,0,0
1,214,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2368,0.8088,0,118.4,101,139,0,0,0,0,0
1,215,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2362,0.8104,0,118.1,101,139,0,0,0,0,0
1,216,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2354,0.811,0,117.7,101,139,0,0,0,0,0
1,217,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2376,0.8106,0,118.8,101,139,0,0,0,0,0
1,218,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2378,0.8094,0,118.9,101,139,0,0,0,0,0
1,219,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2382,0.8124,0,119.1,101,139,0,0,0,0,0
