"method","estimand","tau","beta_trt","scenario","conf_mult","t_star","site_sizes","init_intercepts","mean_est","truth","rmse","bias","emp_sd","coverage","n_reps"
"Pooled CCW","RD",15,-0.7,"medium",1,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.0567467245881476,-0.0576113263955292,0.0410307707212003,0.000864601807381659,0.0410902010838034,0.91,300
"Pooled CCW","RD",5,-0.5,"medium",1,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.0633285313473831,-0.056299762774662,0.0633709457687829,-0.00702876857272113,0.0630851723986684,0.903333333333333,300
"Pooled CCW","RD",10,-0.5,"medium",1,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.0451540423498486,-0.0479979767601583,0.0488708003609148,0.00284393441030965,0.0488694989204449,0.896666666666667,300
"Pooled CCW","RD",15,-0.5,"medium",1,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.0359812272210262,-0.040137751357882,0.0428739034990401,0.00415652413685581,0.0427432434177728,0.926666666666667,300
"Pooled CCW","RD",5,-1,"small",0.5,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.122038193837932,-0.122263043641261,0.0459085939320212,0.000224849803329589,0.0459847485191455,0.93,300
"Pooled CCW","RD",10,-1,"small",0.5,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.0981079634054031,-0.0937729690654333,0.0321393428822907,-0.0043349943399698,0.0318988553853299,0.93,300
"Pooled CCW","RD",15,-1,"small",0.5,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.0777005862127458,-0.0800475615463727,0.0256052594654046,0.00234697533362695,0.025540073156974,0.943333333333333,300
"Pooled CCW","RD",5,-0.7,"small",0.5,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.075615881112476,-0.0819239603898967,0.0416951286244561,0.00630807927742073,0.0412840541929739,0.92,300
"Pooled CCW","RD",10,-0.7,"small",0.5,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.0631510953705243,-0.0639331067141816,0.0299344403829692,0.00078201134365729,0.0299742226930648,0.943333333333333,300
"Pooled CCW","RD",15,-0.7,"small",0.5,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.0542339554003836,-0.0552083200961216,0.0232948503784142,0.000974364695738038,0.0233133518720662,0.953333333333333,300
"Pooled CCW","RD",5,-0.5,"small",0.5,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.0557290729143627,-0.0570731594276688,0.0424779247039267,0.00134408651330609,0.0425275930720934,0.923333333333333,300
