"model","heterogeneity","tau","site","strategy","interval","replicates","mean_risk_n","mean_weight","mean_q95","mean_q99","median_max","max_across_reps","mean_ess","mean_ess_fraction","p10_ess_fraction","mean_design_effect","mean_prop_weight_gt_10"
"Federated: site-specific slopes","high",15,"5","Initiate by tau",15,10,150.3,0.847837829363425,2.71496765561026,7.24531435395624,8.74572802972395,20.5633185646615,52.722202541458,0.351114786020012,0.193505557907101,3.14606918436625,0.00265105561796135
"Federated: site-specific slopes","high",15,"Overall","Do not initiate by tau",15,1,789,0.564306968392635,0.813061787876147,2.25375178518827,43.094350724943,43.094350724943,84.0456431450003,0.106521727686946,0.106521727686946,9.38775611055498,0.00253485424588086
"Federated: site-specific slopes","high",15,"Overall","Initiate by tau",15,1,421,1.70484547234933,5.02456383814377,20.3056848761663,95.2034752592239,95.2034752592239,35.483437365189,0.0842836992047244,0.0842836992047244,11.8646904376018,0.0261282660332542
"Pooled site FE: shared slopes","high",15,"1","Do not initiate by tau",15,1,281,0.394770516809304,0.410801809956898,0.432453656529965,0.478705172666076,0.478705172666076,280.815531176723,0.999343527319298,0.999343527319298,1.00065690392018,0
"Pooled site FE: shared slopes","high",15,"1","Initiate by tau",15,1,7,12.136551623772,52.7353801729292,52.7353801729292,52.7353801729292,52.7353801729292,2.34861293411797,0.335516133445425,0.335516133445425,2.98048260669605,0.285714285714286
"Pooled site FE: shared slopes","high",15,"2","Do not initiate by tau",15,1,253,0.434308518296769,0.572455346766104,0.787393384159855,0.826074313533698,0.826074313533698,247.414677395038,0.977923626067345,0.977923626067345,1.02257474238702,0
"Pooled site FE: shared slopes","high",15,"2","Initiate by tau",15,1,48,4.85741504897644,19.4928528009093,93.2852485519872,93.2852485519872,93.2852485519872,5.33629955082785,0.111172907308914,0.111172907308914,8.99499729031394,0.0833333333333333
"Pooled site FE: shared slopes","high",15,"3","Do not initiate by tau",15,1,151,0.542008064334242,0.897908127420738,2.13682005136042,3.05003404656116,3.05003404656116,119.185785239625,0.789309836024008,0.789309836024008,1.26692960655007,0
"Pooled site FE: shared slopes","high",15,"3","Initiate by tau",15,1,91,2.44507637700616,11.2329365455016,30.9378430248918,34.0320028445494,34.0320028445494,19.0824847327108,0.209697634425393,0.209697634425393,4.768771010413,0.0549450549450549
"Pooled site FE: shared slopes","high",15,"4","Do not initiate by tau",15,1,72,1.48278199437016,1.78598876549162,44.6265447294444,46.5423262548858,46.5423262548858,4.78719665247316,0.0664888423954606,0.0664888423954606,15.0401174689165,0.0277777777777778
"Pooled site FE: shared slopes","high",15,"4","Initiate by tau",15,1,112,0.821755372680711,2.86624961888884,4.99606641448246,6.14005354592461,6.14005354592461,48.3622249678549,0.431805580070133,0.431805580070133,2.31585705733025,0
"Pooled site FE: shared slopes","high",15,"5","Do not initiate by tau",15,1,32,1.07666041483798,3.39918831355995,7.51034903814107,7.51034903814107,7.51034903814107,13.0511176543007,0.407847426696896,0.407847426696896,2.45189728938312,0
"Pooled site FE: shared slopes","high",15,"5","Initiate by tau",15,1,163,0.873909652378259,2.88729614254198,8.55208925251838,12.9265421865539,12.9265421865539,44.3160921711354,0.271877866080586,0.271877866080586,3.67812214512378,0.00613496932515337
"Pooled site FE: shared slopes","high",15,"Overall","Do not initiate by tau",15,1,789,0.562569359868738,0.798830451248968,1.94121928780219,46.5423262548858,46.5423262548858,75.178912220325,0.0952837924211978,0.0952837924211978,10.4949643017938,0.00253485424588086
"Pooled site FE: shared slopes","high",15,"Overall","Initiate by tau",15,1,421,1.84108695748867,6.47873294966039,22.4884340586727,93.2852485519872,93.2852485519872,36.4379773006961,0.0865510149660239,0.0865510149660239,11.553879528652,0.0285035629453682
