"model","heterogeneity","tau","site","interval","replicates","mean_eligible_n","mean_observed_rate","mean_numerator_hazard","mean_denominator","mean_den_q01","mean_den_q99","mean_observed_prob_q01","min_observed_prob","mean_prop_observed_prob_lt_001","mean_prop_observed_prob_lt_005"
"Pooled site FE: shared slopes","low",10,"5",7,10,319,0.0462236033833088,0.0378997811041398,0.0502777602330583,0.000892275764884301,0.352650574417735,0.0426179397776398,0.0018308184747519,0.00093652768308449,0.0117849852865517
"Pooled site FE: shared slopes","low",10,"5",8,10,284.4,0.0459413871506153,0.0336835353507466,0.0456992784445477,0.0009355663738513,0.283680899357251,0.0440841293942817,0.00691897770844024,0.00103921437488853,0.0129953782342294
"Pooled site FE: shared slopes","low",10,"5",9,10,251.7,0.0384389708564681,0.0288325049500883,0.0394089528412244,0.000656533982808079,0.272205135037285,0.0458198911984223,0.00392902975373694,0.00187429142666108,0.0116454442983404
"Pooled site FE: shared slopes","low",10,"5",10,10,228.8,0.0388694153289953,0.0302086942841212,0.0416057937435858,0.000702577347359458,0.316591221386165,0.04655301171709,0.00530591312921222,0.000844122308692323,0.0131832596395775
"Pooled site FE: shared slopes","low",10,"Overall",1,10,5000,0.08312,0.08312,0.0831200000000811,0.00237051791296352,0.508441886182878,0.0423657572118013,0.00336597707901362,0.00066,0.01234
"Pooled site FE: shared slopes","low",10,"Overall",2,10,4078.7,0.0781703404094691,0.0781703404094691,0.0781703404097069,0.00146578301910704,0.50056738909432,0.0431340639179195,0.00161265752338564,0.000983273933491627,0.0121364677646426
"Pooled site FE: shared slopes","low",10,"Overall",3,10,3340,0.068093576400369,0.068093576400369,0.068093576400646,0.00106967972318269,0.461035641613678,0.0435621573933512,0.00128622043892764,0.00110785460380751,0.0119210487256019
"Pooled site FE: shared slopes","low",10,"Overall",4,10,2792.3,0.0553961588343812,0.0553961588343812,0.0553961588346637,0.000852369281218325,0.380005179846746,0.0397732161330734,0.000945231347321147,0.00143625546193307,0.0129991189896319
"Pooled site FE: shared slopes","low",10,"Overall",5,10,2396.1,0.0469735676750666,0.0469735676750666,0.046973567675339,0.000691685208636316,0.33297270188291,0.0410210207726187,0.00310490139666288,0.00141680374751165,0.0128072623450722
"Pooled site FE: shared slopes","low",10,"Overall",6,10,2102.2,0.0432533852209127,0.0432533852209127,0.0432533852211808,0.000658685355185056,0.314345164697406,0.0427338085213272,0.00101808437258182,0.00156564964878824,0.0119364814383469
"Pooled site FE: shared slopes","low",10,"Overall",7,10,1866.9,0.0378997811041398,0.0378997811041398,0.0378997811044005,0.0005988806753363,0.274181185937031,0.0407329623092664,0.000617067013958948,0.00144634808849999,0.0124635011977368
"Pooled site FE: shared slopes","low",10,"Overall",8,10,1676.4,0.0336835353507466,0.0336835353507466,0.0336835353509956,0.000537248955610783,0.23827809775318,0.0423856445189847,0.000705560932376758,0.00167147130687172,0.01217978979283
"Pooled site FE: shared slopes","low",10,"Overall",9,10,1514,0.0288325049500883,0.0288325049500883,0.0288325049503641,0.000457283939057597,0.214780590276009,0.0451574512743555,0.00177636669236948,0.00224728601673072,0.0112204487880608
"Pooled site FE: shared slopes","low",10,"Overall",10,10,1384.4,0.0302086942841212,0.0302086942841212,0.0302086942843824,0.000483631403643882,0.228413007319765,0.0418307691601511,0.00115369158771798,0.00144413295977391,0.0116362109033853
"Pooled site FE: shared slopes","low",15,"1",1,10,900,0.0473333333333333,0.0834,0.0488798588427962,0.00172010366036223,0.323493199748856,0.0390295195085182,0.00196278502664379,0.00133333333333333,0.0141111111111111
"Pooled site FE: shared slopes","low",15,"1",2,10,772.9,0.0481498960713274,0.0788915545325533,0.0484539885108157,0.00103335881554786,0.344064627776324,0.0439609701536965,0.00197077930049312,0.000901331436031326,0.0123081627853029
"Pooled site FE: shared slopes","low",15,"1",3,10,661.3,0.0387630337743404,0.0653530530417433,0.0417502516710088,0.000774805459742178,0.302667405922605,0.052437226107451,0.00238437208407658,0.00135581651406332,0.0102560537805632
"Pooled site FE: shared slopes","low",15,"1",4,10,576.7,0.0387678132681594,0.0545543821560248,0.0362242272491849,0.000611409008739194,0.276816529075269,0.0462947161605064,0.00194214228489356,0.00156374924570024,0.0120248974735891
"Pooled site FE: shared slopes","low",15,"1",5,10,510.4,0.0306197618282458,0.0454897250228804,0.0310737633807181,0.000487546128991551,0.245610951747783,0.0440759403643009,0.0026518111315957,0.00118502789368028,0.0111639767231303
"Pooled site FE: shared slopes","low",15,"1",6,10,458.9,0.028276514016798,0.0420117180252312,0.0295767581176054,0.000453970778851282,0.233515944596357,0.0446499339970918,0.000663136283885676,0.00218092771027704,0.0119171162985935
"Pooled site FE: shared slopes","low",15,"1",7,10,414.3,0.0279449779867741,0.0396484072943995,0.0285510121547081,0.000471830956268489,0.224461560725997,0.0586284488415274,0.00336933910704319,0.0017092093481487,0.0105386227898897
"Pooled site FE: shared slopes","low",15,"1",8,10,377.4,0.0284974688409433,0.0363115757761562,0.0264970530446644,0.000481905187500295,0.202705269577433,0.0308459496157915,0.00117176838744973,0.00261871551056734,0.0145200053584976
"Pooled site FE: shared slopes","low",15,"1",9,10,347.7,0.0247680025553761,0.0325214249126382,0.0242943364767043,0.00046308423967851,0.198422380222563,0.0487696302819679,0.00296498470210059,0.00174450016227385,0.0113993469952944
"Pooled site FE: shared slopes","low",15,"1",10,10,318.6,0.0266042861992269,0.0287640215215074,0.0209573438830515,0.000389873635397966,0.159047304969683,0.0552469287736124,0.000556165059223849,0.00250394816855465,0.0127598543601775
"Pooled site FE: shared slopes","low",15,"1",11,10,293.6,0.0159286580269984,0.0257022439068531,0.0181515557903736,0.000348847197024488,0.141536286179146,0.123982318617583,0.00227116498111201,0.00105168493848682,0.00647168975710637
"Pooled site FE: shared slopes","low",15,"1",12,10,274.1,0.0185819393519586,0.0250320125831702,0.0178055310634756,0.000348275715672419,0.137679547925147,0.135109663863848,0.00590059093200898,0.00112589909521317,0.00879626631858962
"Pooled site FE: shared slopes","low",15,"1",13,10,256.9,0.0150601331255774,0.0220791167146608,0.0166881437559716,0.000357408014969409,0.127103435438261,0.334074214831213,0.00175491026471116,0.00233341409537383,0.0100824016988097
"Pooled site FE: shared slopes","low",15,"1",14,10,241.3,0.0185821644773045,0.0233149400214072,0.0172231087651085,0.000372307700268694,0.126021648506053,0.0965474151442159,0.00148013105060561,0.00124365247350828,0.0112561898008346
"Pooled site FE: shared slopes","low",15,"1",15,10,226.3,0.0172868645107757,0.0214077323879243,0.0151914176277859,0.000396339537609129,0.109377603215592,0.284561302509595,0.00475224484350418,0.0026507220040891,0.012894083407953
"Pooled site FE: shared slopes","low",15,"2",1,10,950,0.0611578947368421,0.0834,0.0634424844210694,0.00198754843298157,0.411704868121829,0.0452942679074691,0.00322315730124127,0.000736842105263158,0.0121052631578947
"Pooled site FE: shared slopes","low",15,"2",2,10,798.5,0.0580058513666547,0.0788915545325533,0.0611176186892474,0.00128197555301664,0.406351706307567,0.0461615394507806,0.00388895688754072,0.000754277340871587,0.0123849289866988
